,rep,lv,alp,num_cell,cell_size,sparse_freq,error
299,0,1,0.1,100,8,8,8991.281681939552
300,0,1,0.1,200,1,1,176.9746057271577
301,0,1,0.1,200,1,2,269.2609014704861
302,0,1,0.1,200,1,4,331.40297102468264
303,0,1,0.1,200,1,6,310.6235824873691
304,0,1,0.1,200,1,8,334.4649019049084
305,0,1,0.1,200,2,1,160.2481346571694
306,0,1,0.1,200,2,2,481.24006886426014
307,0,1,0.1,200,2,4,788.5060513779022
308,0,1,0.1,200,2,6,1536.7579426066998
309,0,1,0.1,200,2,8,1208.5247011651752
310,0,1,0.1,200,4,1,202.03454226040043
311,0,1,0.1,200,4,2,406.2839441162056
312,0,1,0.1,200,4,4,1327.636914265582
313,0,1,0.1,200,4,6,3196.990650381497
314,0,1,0.1,200,4,8,5204.446424874941
315,0,1,0.1,200,6,1,141.15179912717986
316,0,1,0.1,200,6,2,476.6727648583629
317,0,1,0.1,200,6,4,1721.960894082824
318,0,1,0.1,200,6,6,3803.5041158494705
319,0,1,0.1,200,6,8,4733.595551047632
320,0,1,0.1,200,8,1,168.86788694082833
321,0,1,0.1,200,8,2,464.321539038338
322,0,1,0.1,200,8,4,1034.026602617828
323,0,1,0.1,200,8,6,2090.644220932287
324,0,1,0.1,200,8,8,3085.5102842456386
325,0,1,0.1,300,1,1,129.23099995938475
326,0,1,0.1,300,1,2,148.1490810665256
327,0,1,0.1,300,1,4,215.3086880283274
328,0,1,0.1,300,1,6,227.4436917046325
329,0,1,0.1,300,1,8,222.72724736894267
330,0,1,0.1,300,2,1,123.0827488408298
331,0,1,0.1,300,2,2,344.24138208387484
332,0,1,0.1,300,2,4,838.8769738262175
333,0,1,0.1,300,2,6,667.5301110133111
334,0,1,0.1,300,2,8,1078.5269507418457
335,0,1,0.1,300,4,1,135.63974858955908
336,0,1,0.1,300,4,2,338.7876194860228
337,0,1,0.1,300,4,4,905.4299140252949
338,0,1,0.1,300,4,6,2063.572692481158
339,0,1,0.1,300,4,8,3992.212594946522
340,0,1,0.1,300,6,1,119.42691870025651
341,0,1,0.1,300,6,2,356.66995370161214
342,0,1,0.1,300,6,4,1072.832274779918
343,0,1,0.1,300,6,6,2881.203244021523
344,0,1,0.1,300,6,8,2042.132123145958
345,0,1,0.1,300,8,1,113.75834918226369
346,0,1,0.1,300,8,2,317.92175639736485
347,0,1,0.1,300,8,4,651.7409930902681
348,0,1,0.1,300,8,6,1024.1591055563208
349,0,1,0.1,300,8,8,774.7417825185273
350,0,1,0.1,500,1,1,59.768869295126436
351,0,1,0.1,500,1,2,97.35436005501262
352,0,1,0.1,500,1,4,78.68770071843643
353,0,1,0.1,500,1,6,166.5937546340978
354,0,1,0.1,500,1,8,128.3015505505663
355,0,1,0.1,500,2,1,41.68419944506279
356,0,1,0.1,500,2,2,120.38586925885934
357,0,1,0.1,500,2,4,541.6089029026839
358,0,1,0.1,500,2,6,558.8101676173951
359,0,1,0.1,500,2,8,459.238066675676
360,0,1,0.1,500,4,1,34.98784336342196
361,0,1,0.1,500,4,2,203.3128541011168
362,0,1,0.1,500,4,4,723.4139138573985
363,0,1,0.1,500,4,6,1552.0645770783926
364,0,1,0.1,500,4,8,2430.5821877254953
365,0,1,0.1,500,6,1,37.44744175281421
366,0,1,0.1,500,6,2,139.55693962441032
367,0,1,0.1,500,6,4,428.7091961865261
368,0,1,0.1,500,6,6,1121.5828900206695
369,0,1,0.1,500,6,8,872.9140082577115
370,0,1,0.1,500,8,1,31.975543285300624
371,0,1,0.1,500,8,2,69.37623968441513
372,0,1,0.1,500,8,4,192.07381032558322
373,0,1,0.1,500,8,6,352.00328492214544
374,0,1,0.1,500,8,8,220.14003164394592
375,0,1,1.0,50,1,1,157.8330697058971
376,0,1,1.0,50,1,2,162.14124922291637
377,0,1,1.0,50,1,4,193.3608501846853
378,0,1,1.0,50,1,6,220.62583102213569
379,0,1,1.0,50,1,8,247.1161422554672
380,0,1,1.0,50,2,1,150.37404420529836
381,0,1,1.0,50,2,2,243.7514207728195
382,0,1,1.0,50,2,4,302.35371837651354
383,0,1,1.0,50,2,6,347.0636089980279
384,0,1,1.0,50,2,8,329.69077567791504
385,0,1,1.0,50,4,1,179.98307950250336
386,0,1,1.0,50,4,2,279.56951827289225
387,0,1,1.0,50,4,4,251.01862808251593
388,0,1,1.0,50,4,6,711.4890191429296
389,0,1,1.0,50,4,8,729.8996662986881
390,0,1,1.0,50,6,1,151.80137562879193
391,0,1,1.0,50,6,2,221.16749789115516
392,0,1,1.0,50,6,4,457.10098765840604
393,0,1,1.0,50,6,6,781.2887935516592
394,0,1,1.0,50,6,8,1049.8061686351987
395,0,1,1.0,50,8,1,148.5858540631946
396,0,1,1.0,50,8,2,179.12940209729985
397,0,1,1.0,50,8,4,151.2781632301504
398,0,1,1.0,50,8,6,693.6340144663203
399,0,1,1.0,50,8,8,1779.1652110969449
400,0,1,1.0,100,1,1,130.30893983335312
401,0,1,1.0,100,1,2,145.33862318319112
402,0,1,1.0,100,1,4,144.24827522130676
403,0,1,1.0,100,1,6,142.84968130190703
404,0,1,1.0,100,1,8,157.7564037710608
405,0,1,1.0,100,2,1,140.0209900876246
406,0,1,1.0,100,2,2,179.5253280453099
407,0,1,1.0,100,2,4,218.7814722863935
408,0,1,1.0,100,2,6,171.72928719391675
409,0,1,1.0,100,2,8,356.24715321214586
410,0,1,1.0,100,4,1,122.97358163062795
411,0,1,1.0,100,4,2,134.7662546346857
412,0,1,1.0,100,4,4,114.433471343406
413,0,1,1.0,100,4,6,515.3251952425145
414,0,1,1.0,100,4,8,625.2820333893537
415,0,1,1.0,100,6,1,129.1113615287072
416,0,1,1.0,100,6,2,146.30852206526276
417,0,1,1.0,100,6,4,102.88230121715188
418,0,1,1.0,100,6,6,418.24945113783883
419,0,1,1.0,100,6,8,717.7294995373686
420,0,1,1.0,100,8,1,122.9254118362871
421,0,1,1.0,100,8,2,107.44741019686442
422,0,1,1.0,100,8,4,76.64236835238742
423,0,1,1.0,100,8,6,236.42851393794686
424,0,1,1.0,100,8,8,687.6221823421176
425,0,1,1.0,200,1,1,114.62401943465139
426,0,1,1.0,200,1,2,106.42565712018636
427,0,1,1.0,200,1,4,88.41223769004529
428,0,1,1.0,200,1,6,110.82392442268043
429,0,1,1.0,200,1,8,95.55257690768094
430,0,1,1.0,200,2,1,90.98182571929004
431,0,1,1.0,200,2,2,85.15312175189912
432,0,1,1.0,200,2,4,73.10274854400038
433,0,1,1.0,200,2,6,143.4161552950917
434,0,1,1.0,200,2,8,136.16227337710703
435,0,1,1.0,200,4,1,104.1829261191649
436,0,1,1.0,200,4,2,50.11413557636328
437,0,1,1.0,200,4,4,60.73917558267411
438,0,1,1.0,200,4,6,71.75201177129709
439,0,1,1.0,200,4,8,492.5187747737675
440,0,1,1.0,200,6,1,95.51435110071665
441,0,1,1.0,200,6,2,47.677057904058124
442,0,1,1.0,200,6,4,76.5837835398363
443,0,1,1.0,200,6,6,420.9373105906743
444,0,1,1.0,200,6,8,727.5380098197986
445,0,1,1.0,200,8,1,86.7721933654599
446,0,1,1.0,200,8,2,54.08120681820835
447,0,1,1.0,200,8,4,47.80109726558172
448,0,1,1.0,200,8,6,55.889650895550524
449,0,1,1.0,200,8,8,279.38035252216406
450,0,1,1.0,300,1,1,73.31453166544067
451,0,1,1.0,300,1,2,53.16390564778519
452,0,1,1.0,300,1,4,54.431155916900586
453,0,1,1.0,300,1,6,60.003564691636804
454,0,1,1.0,300,1,8,67.16246660765668
455,0,1,1.0,300,2,1,73.43935717917239
456,0,1,1.0,300,2,2,28.287390705280874
457,0,1,1.0,300,2,4,43.211323587894775
458,0,1,1.0,300,2,6,57.751449904392786
459,0,1,1.0,300,2,8,51.010211193586336
460,0,1,1.0,300,4,1,57.04721946331963
461,0,1,1.0,300,4,2,30.297966357507498
462,0,1,1.0,300,4,4,72.953542423403
463,0,1,1.0,300,4,6,269.5457949986083
464,0,1,1.0,300,4,8,234.26026539721593
465,0,1,1.0,300,6,1,49.3609883270467
466,0,1,1.0,300,6,2,27.33927151278518
467,0,1,1.0,300,6,4,41.3559790233129
468,0,1,1.0,300,6,6,379.732657020781
469,0,1,1.0,300,6,8,387.3155502661687
470,0,1,1.0,300,8,1,64.92172500290565
471,0,1,1.0,300,8,2,27.27082547886815
472,0,1,1.0,300,8,4,36.74867339780805
473,0,1,1.0,300,8,6,95.45534502062004
474,0,1,1.0,300,8,8,270.9123976510275
475,0,1,1.0,500,1,1,33.19661736492191
476,0,1,1.0,500,1,2,23.069303283437076
477,0,1,1.0,500,1,4,25.028836507722367
478,0,1,1.0,500,1,6,27.749357402036217
479,0,1,1.0,500,1,8,29.098792597568284
480,0,1,1.0,500,2,1,19.89743002287183
481,0,1,1.0,500,2,2,20.50143419710931
482,0,1,1.0,500,2,4,29.22166589991625
483,0,1,1.0,500,2,6,34.585499429002724
484,0,1,1.0,500,2,8,37.13474264716192
485,0,1,1.0,500,4,1,16.08115397860466
486,0,1,1.0,500,4,2,20.899081026069226
487,0,1,1.0,500,4,4,42.965495238640955
488,0,1,1.0,500,4,6,300.895238314887
489,0,1,1.0,500,4,8,479.26637287030474
490,0,1,1.0,500,6,1,16.219195609910997
491,0,1,1.0,500,6,2,23.366506131353827
492,0,1,1.0,500,6,4,42.03668593352301
493,0,1,1.0,500,6,6,74.97737636253903
494,0,1,1.0,500,6,8,464.8901356986671
495,0,1,1.0,500,8,1,15.668704650873634
496,0,1,1.0,500,8,2,22.852893429987823
497,0,1,1.0,500,8,4,33.61516287368426
498,0,1,1.0,500,8,6,88.81953546661255
499,0,1,1.0,500,8,8,188.81938965212072
500,0,1,10.0,50,1,1,139.25795336119145
501,0,1,10.0,50,1,2,139.8659060307172
502,0,1,10.0,50,1,4,136.56442895917655
503,0,1,10.0,50,1,6,138.11305757630595
504,0,1,10.0,50,1,8,135.8534474075102
505,0,1,10.0,50,2,1,145.03418936127005
506,0,1,10.0,50,2,2,144.29038657427967
507,0,1,10.0,50,2,4,169.27929732144528
508,0,1,10.0,50,2,6,163.09220770595604
509,0,1,10.0,50,2,8,161.7084824471452
510,0,1,10.0,50,4,1,146.83455266013118
511,0,1,10.0,50,4,2,169.19048431649733
512,0,1,10.0,50,4,4,162.81906763639452
513,0,1,10.0,50,4,6,173.77711902031487
514,0,1,10.0,50,4,8,165.96169488739585
515,0,1,10.0,50,6,1,156.9191278504635
516,0,1,10.0,50,6,2,192.1674904687663
517,0,1,10.0,50,6,4,151.3397360153176
518,0,1,10.0,50,6,6,156.85579705851526
519,0,1,10.0,50,6,8,128.85360504411798
520,0,1,10.0,50,8,1,157.18270863672285
521,0,1,10.0,50,8,2,176.55646087942492
522,0,1,10.0,50,8,4,177.7913341251249
523,0,1,10.0,50,8,6,119.12088515608426
524,0,1,10.0,50,8,8,128.90540774597287
525,0,1,10.0,100,1,1,141.60200941359082
526,0,1,10.0,100,1,2,127.11566418714081
527,0,1,10.0,100,1,4,128.95622145957773
528,0,1,10.0,100,1,6,127.19698957496988
529,0,1,10.0,100,1,8,127.98023415455233
530,0,1,10.0,100,2,1,139.02101007612774
531,0,1,10.0,100,2,2,153.03754440389926
532,0,1,10.0,100,2,4,139.16544940617158
533,0,1,10.0,100,2,6,146.56131541017115
534,0,1,10.0,100,2,8,136.9204870843372
535,0,1,10.0,100,4,1,148.37675962746886
536,0,1,10.0,100,4,2,146.33238202924295
537,0,1,10.0,100,4,4,126.99061788489568
538,0,1,10.0,100,4,6,92.73224667949249
539,0,1,10.0,100,4,8,103.10659914205023
540,0,1,10.0,100,6,1,159.57290739116627
541,0,1,10.0,100,6,2,151.52124309964867
542,0,1,10.0,100,6,4,109.1376474084404
543,0,1,10.0,100,6,6,88.18233233811115
544,0,1,10.0,100,6,8,84.46143625803886
545,0,1,10.0,100,8,1,151.3411217785102
546,0,1,10.0,100,8,2,154.5291970923208
547,0,1,10.0,100,8,4,100.15953985458135
548,0,1,10.0,100,8,6,94.62293827653473
549,0,1,10.0,100,8,8,92.76213129546437
550,0,1,10.0,200,1,1,113.12219298433392
551,0,1,10.0,200,1,2,100.21332098400102
552,0,1,10.0,200,1,4,93.84186885403888
553,0,1,10.0,200,1,6,101.76018334210741
554,0,1,10.0,200,1,8,104.59732346772863
555,0,1,10.0,200,2,1,108.4525342108436
556,0,1,10.0,200,2,2,95.30868498456564
557,0,1,10.0,200,2,4,102.8572610700455
558,0,1,10.0,200,2,6,90.16596513785883
559,0,1,10.0,200,2,8,89.6675732257676
560,0,1,10.0,200,4,1,121.68074527937438
561,0,1,10.0,200,4,2,97.11883777677801
562,0,1,10.0,200,4,4,63.33123066968835
563,0,1,10.0,200,4,6,56.866824856842065
564,0,1,10.0,200,4,8,60.16098077950576
565,0,1,10.0,200,6,1,102.94298734741524
566,0,1,10.0,200,6,2,92.01057574368338
567,0,1,10.0,200,6,4,54.94225479691785
568,0,1,10.0,200,6,6,51.50611349161378
569,0,1,10.0,200,6,8,66.88642651453551
570,0,1,10.0,200,8,1,107.67202018181064
571,0,1,10.0,200,8,2,105.66859896610397
572,0,1,10.0,200,8,4,56.09735561167904
573,0,1,10.0,200,8,6,46.88389558145236
574,0,1,10.0,200,8,8,67.36084091021092
575,0,1,10.0,300,1,1,87.27825294237634
576,0,1,10.0,300,1,2,66.42275120674984
