,rep,lv,alp,num_cell,cell_size,sparse_freq,error
45,0,2,0.001,300,2,3,870.8265815541024
46,0,2,0.001,300,4,1,134.66465682609729
47,0,2,0.001,300,4,3,1718.9066597045623
48,0,2,0.001,500,1,1,64.66910975460186
49,0,2,0.001,500,1,3,242.54590681988458
50,0,2,0.001,500,2,1,100.82182038139281
51,0,2,0.001,500,2,3,608.3795475968511
52,0,2,0.001,500,4,1,101.12094756689011
53,0,2,0.001,500,4,3,1209.494874380571
54,0,2,0.01,100,1,1,322.97893979919417
55,0,2,0.01,100,1,3,712.5009034220766
56,0,2,0.01,100,2,1,207.12428992074535
57,0,2,0.01,100,2,3,553.458343744557
58,0,2,0.01,100,4,1,149.4712035824601
59,0,2,0.01,100,4,3,1001.5993525389054
60,0,2,0.01,300,1,1,90.55165515392953
61,0,2,0.01,300,1,3,193.73889243962307
62,0,2,0.01,300,2,1,126.61324950643424
63,0,2,0.01,300,2,3,694.940507290011
64,0,2,0.01,300,4,1,128.4538178471558
65,0,2,0.01,300,4,3,1157.5259436812341
66,0,2,0.01,500,1,1,71.71749271877843
67,0,2,0.01,500,1,3,158.41824003881845
68,0,2,0.01,500,2,1,69.77284677514828
69,0,2,0.01,500,2,3,482.2184378285175
70,0,2,0.01,500,4,1,81.70278826987791
71,0,2,0.01,500,4,3,982.2938940777838
72,0,4,0.001,100,1,1,126.52988188769983
73,0,4,0.001,100,1,3,116.24608165302519
74,0,4,0.001,100,2,1,67.90749586170324
75,0,4,0.001,100,2,3,145.33937638870236
76,0,4,0.001,100,4,1,52.690495144775504
77,0,4,0.001,100,4,3,294.0105624986937
78,0,4,0.001,300,1,1,127.12573073225371
79,0,4,0.001,300,1,3,122.1442390849932
80,0,4,0.001,300,2,1,56.971642932094205
81,0,4,0.001,300,2,3,170.85808823627042
82,0,4,0.001,300,4,1,55.5254755779607
83,0,4,0.001,300,4,3,266.6883815915336
84,0,4,0.001,500,1,1,50.21457826041629
85,0,4,0.001,500,1,3,110.06693061633092
86,0,4,0.001,500,2,1,46.4646613353386
87,0,4,0.001,500,2,3,192.52622683459148
88,0,4,0.001,500,4,1,45.45762484429045
89,0,4,0.001,500,4,3,227.21467775212744
90,0,4,0.01,100,1,1,64.84850040211033
91,0,4,0.01,100,1,3,79.94115576239432
92,0,4,0.01,100,2,1,70.63895608725544
93,0,4,0.01,100,2,3,82.19711214969014
