rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,2,0.01,100,2,4,201.52295071357665
0,2,0.01,100,2,8,212.47831847937337
0,2,0.01,100,4,2,185.44562195160955
0,2,0.01,100,4,4,222.37479606048686
0,2,0.01,100,4,8,232.49573565438388
0,2,0.01,100,8,2,187.71574214267446
0,2,0.01,100,8,4,228.04012580442546
0,2,0.01,100,8,8,240.28170659238546
0,2,0.01,200,2,2,171.57443121329877
0,2,0.01,200,2,4,205.9858461535957
0,2,0.01,200,2,8,216.73048920249124
0,2,0.01,200,4,2,186.91278879080454
0,2,0.01,200,4,4,219.61419061451562
0,2,0.01,200,4,8,233.41783475555206
0,2,0.01,200,8,2,190.82645064134528
0,2,0.01,200,8,4,227.1559897628723
0,2,0.01,200,8,8,241.96229840417192
0,2,0.01,500,2,2,153.79215831087183
0,2,0.01,500,2,4,191.52613804574565
0,2,0.01,500,2,8,205.38542327155972
0,2,0.01,500,4,2,165.71681701695283
0,2,0.01,500,4,4,215.21656206419374
0,2,0.01,500,4,8,233.13159370813258
0,2,0.01,500,8,2,162.76351277263552
0,2,0.01,500,8,4,213.5582420364506
0,2,0.01,500,8,8,233.07469648230762
0,2,0.1,50,2,2,168.80534374176412
0,2,0.1,50,2,4,180.90841365119329
0,2,0.1,50,2,8,188.24217581732105
0,2,0.1,50,4,2,168.52989620921946
0,2,0.1,50,4,4,194.84610031411248
0,2,0.1,50,4,8,210.16247952329036
0,2,0.1,50,8,2,166.31520746400543
0,2,0.1,50,8,4,201.42871589694113
0,2,0.1,50,8,8,222.52096431421057
0,2,0.1,100,2,2,147.54077446075374
0,2,0.1,100,2,4,171.18811918594452
0,2,0.1,100,2,8,182.521370825317
0,2,0.1,100,4,2,157.37345742461187
0,2,0.1,100,4,4,187.95593297168838
0,2,0.1,100,4,8,205.13565353818692
0,2,0.1,100,8,2,159.27906548444815
0,2,0.1,100,8,4,195.4895463280358
0,2,0.1,100,8,8,221.29407825950378
0,2,0.1,200,2,2,123.22063159594387
0,2,0.1,200,2,4,155.82470798523212
0,2,0.1,200,2,8,170.88439978060873
0,2,0.1,200,4,2,136.89124075632773
0,2,0.1,200,4,4,177.2729152076454
0,2,0.1,200,4,8,202.23262121841123
0,2,0.1,200,8,2,137.09892702468827
0,2,0.1,200,8,4,184.08858933319786
0,2,0.1,200,8,8,206.88685290906287
0,2,0.1,500,2,2,29.958962665114534
0,2,0.1,500,2,4,109.99289442867928
0,2,0.1,500,2,8,140.3738710488825
0,2,0.1,500,4,2,60.57820390327674
0,2,0.1,500,4,4,161.87900207756763
0,2,0.1,500,4,8,195.39111623843374
0,2,0.1,500,8,2,33.25391433735439
0,2,0.1,500,8,4,95.19282387606106
0,2,0.1,500,8,8,137.27363505215462
0,2,1.0,50,2,2,147.48048432119836
0,2,1.0,50,2,4,148.20011073995101
0,2,1.0,50,2,8,153.3449066162024
0,2,1.0,50,4,2,143.65066259213418
0,2,1.0,50,4,4,156.5726799067135
0,2,1.0,50,4,8,168.93884526322918
0,2,1.0,50,8,2,141.90508023308917
0,2,1.0,50,8,4,158.67758118865154
0,2,1.0,50,8,8,174.52024094328246
0,2,1.0,100,2,2,94.94412206341207
0,2,1.0,100,2,4,99.47204994722449
0,2,1.0,100,2,8,108.49986681951972
0,2,1.0,100,4,2,88.42509454318215
0,2,1.0,100,4,4,113.27743573521968
0,2,1.0,100,4,8,148.78806394931485
0,2,1.0,100,8,2,82.69033255018098
0,2,1.0,100,8,4,121.252216342451
0,2,1.0,100,8,8,145.02068310253836
0,2,1.0,200,2,2,23.063585540117316
0,2,1.0,200,2,4,31.559189726722632
0,2,1.0,200,2,8,45.94089463335618
0,2,1.0,200,4,2,18.3741086367361
0,2,1.0,200,4,4,55.39994598000437
0,2,1.0,200,4,8,131.3141182205591
0,2,1.0,200,8,2,16.9768640497551
0,2,1.0,200,8,4,52.01590034501366
0,2,1.0,200,8,8,89.04096442876744
0,2,1.0,500,2,2,12.553626423346886
0,2,1.0,500,2,4,18.67275235337414
0,2,1.0,500,2,8,29.092915556810443
0,2,1.0,500,4,2,13.277483668632426
0,2,1.0,500,4,4,39.983566914032885
0,2,1.0,500,4,8,115.31342907042836
0,2,1.0,500,8,2,13.264824833006344
0,2,1.0,500,8,4,37.37305228475268
0,2,1.0,500,8,8,69.37174732728008
0,2,10.0,50,2,2,142.87495749432057
0,2,10.0,50,2,4,125.34094461874261
0,2,10.0,50,2,8,120.35891116995184
0,2,10.0,50,4,2,133.38591763860228
0,2,10.0,50,4,4,103.84950898393711
0,2,10.0,50,4,8,97.49435979717362
0,2,10.0,50,8,2,129.8642628906161
0,2,10.0,50,8,4,89.92759644761021
0,2,10.0,50,8,8,80.90030046838667
0,2,10.0,100,2,2,73.08123703505221
0,2,10.0,100,2,4,51.47870217822222
0,2,10.0,100,2,8,50.13817071420874
0,2,10.0,100,4,2,39.66177183024424
0,2,10.0,100,4,4,28.55622918471982
0,2,10.0,100,4,8,49.00638776131488
0,2,10.0,100,8,2,25.586228305241463
0,2,10.0,100,8,4,25.779896833569985
0,2,10.0,100,8,8,59.77645183157828
0,2,10.0,200,2,2,22.660399758027296
0,2,10.0,200,2,4,21.784346110065254
0,2,10.0,200,2,8,23.173483671191615
0,2,10.0,200,4,2,18.76498333217451
0,2,10.0,200,4,4,21.217308029145972
0,2,10.0,200,4,8,34.60982133909072
0,2,10.0,200,8,2,18.46296149356969
0,2,10.0,200,8,4,21.951311420723812
0,2,10.0,200,8,8,51.084580950206046
0,2,10.0,500,2,2,16.439073030460996
0,2,10.0,500,2,4,18.540521319157474
0,2,10.0,500,2,8,19.503102862640908
0,2,10.0,500,4,2,16.852549107107528
0,2,10.0,500,4,4,20.405657118498883
0,2,10.0,500,4,8,27.396143303532977
0,2,10.0,500,8,2,17.00472081777093
0,2,10.0,500,8,4,21.16596633273189
0,2,10.0,500,8,8,45.4690181763596
0,4,0.01,50,2,2,83.00236719271763
0,4,0.01,50,2,4,101.3387135428426
0,4,0.01,50,2,8,116.93151571027586
0,4,0.01,50,4,2,80.05300129893803
0,4,0.01,50,4,4,138.47232843767176
0,4,0.01,50,4,8,169.69618618196995
0,4,0.01,50,8,2,76.41608468946559
0,4,0.01,50,8,4,155.072625416593
0,4,0.01,50,8,8,191.84874062044017
0,4,0.01,100,2,2,78.89015905703906
0,4,0.01,100,2,4,118.08038443412332
0,4,0.01,100,2,8,134.47944762035345
0,4,0.01,100,4,2,96.00689336743567
0,4,0.01,100,4,4,157.65173059947912
0,4,0.01,100,4,8,175.96602362266978
0,4,0.01,100,8,2,93.08509743936142
0,4,0.01,100,8,4,169.91053894253852
0,4,0.01,100,8,8,199.11623353213614
0,4,0.01,200,2,2,98.08683256153368
0,4,0.01,200,2,4,140.4381610904034
0,4,0.01,200,2,8,155.6053622437308
0,4,0.01,200,4,2,114.4718393403073
0,4,0.01,200,4,4,159.69808644179614
0,4,0.01,200,4,8,184.49788952992745
0,4,0.01,200,8,2,110.64817341478935
0,4,0.01,200,8,4,174.52658480810038
0,4,0.01,200,8,8,211.0289007344502
0,4,0.01,500,2,2,74.03730416169769
0,4,0.01,500,2,4,129.70193390827254
0,4,0.01,500,2,8,148.50919940338403
0,4,0.01,500,4,2,83.26355062639978
0,4,0.01,500,4,4,163.58328046261826
0,4,0.01,500,4,8,189.24987268884527
0,4,0.01,500,8,2,58.675282792075066
0,4,0.01,500,8,4,169.39956504919067
0,4,0.01,500,8,8,214.0029159240285
0,4,0.1,50,2,2,71.33514595699693
0,4,0.1,50,2,4,81.37775968451547
0,4,0.1,50,2,8,89.723305730376
0,4,0.1,50,4,2,67.95372457057756
0,4,0.1,50,4,4,99.05621972618817
0,4,0.1,50,4,8,131.73349814970953
0,4,0.1,50,8,2,63.80359051684942
0,4,0.1,50,8,4,108.04609081676065
0,4,0.1,50,8,8,162.61405796592288
0,4,0.1,100,2,2,55.39360092196396
0,4,0.1,100,2,4,70.73064314172424
0,4,0.1,100,2,8,80.70598122932999
0,4,0.1,100,4,2,57.69951662360277
0,4,0.1,100,4,4,92.4803231626692
0,4,0.1,100,4,8,127.9730165918443
0,4,0.1,100,8,2,54.240564395927606
0,4,0.1,100,8,4,101.08751227873002
0,4,0.1,100,8,8,162.76585281676918
