,repetition,num_cell,cell_size,sparse_freq,alpha,error
496,2,200,2,2,10.0,15.549046121918348
497,2,200,2,5,10.0,15.962258694956565
498,2,200,5,1,10.0,15.70877084018608
499,2,200,5,2,10.0,15.656659401689588
500,2,200,5,5,10.0,18.511196544127255
501,2,200,7,1,10.0,16.47769160346073
502,2,200,7,2,10.0,15.150184377608875
503,2,200,7,5,10.0,18.897079577881186
504,2,500,2,1,10.0,11.405670339194527
505,2,500,2,2,10.0,13.56456708644012
506,2,500,2,5,10.0,15.841146569655185
507,2,500,5,1,10.0,11.843188912274718
508,2,500,5,2,10.0,14.179048324057083
509,2,500,5,5,10.0,18.433993695731168
510,2,500,7,1,10.0,11.76266482831431
511,2,500,7,2,10.0,14.265746489387116
512,2,500,7,5,10.0,18.894288920433294
513,2,100,2,1,100.0,23.27542010139198
514,2,100,2,2,100.0,19.93909494511954
515,2,100,2,5,100.0,19.84096316921034
516,2,100,5,1,100.0,21.551753651310314
517,2,100,5,2,100.0,19.150362327604753
518,2,100,5,5,100.0,20.179506546539177
519,2,100,7,1,100.0,21.440358307224994
520,2,100,7,2,100.0,19.000290244432517
521,2,100,7,5,100.0,20.662226070411105
522,2,200,2,1,100.0,20.261913646352113
523,2,200,2,2,100.0,18.817304210759392
524,2,200,2,5,100.0,18.955689865356497
525,2,200,5,1,100.0,19.217969857179536
526,2,200,5,2,100.0,18.273427939638072
527,2,200,5,5,100.0,20.448848872885335
528,2,200,7,1,100.0,18.5879226467331
529,2,200,7,2,100.0,18.807534537170536
530,2,200,7,5,100.0,20.746500989701257
531,2,500,2,1,100.0,17.330057415321182
532,2,500,2,2,100.0,17.044235385076146
533,2,500,2,5,100.0,18.12212891903795
534,2,500,5,1,100.0,18.132932421321787
535,2,500,5,2,100.0,17.97895659250044
536,2,500,5,5,100.0,19.861866056945875
537,2,500,7,1,100.0,17.77591522024683
538,2,500,7,2,100.0,17.941470388582754
539,2,500,7,5,100.0,20.32992187096389
540,2,100,2,1,1000.0,34.652877463576715
541,2,100,2,2,1000.0,25.062321634088168
542,2,100,2,5,1000.0,24.343014173439276
543,2,100,5,1,1000.0,31.035109293714527
544,2,100,5,2,1000.0,24.315615740858412
545,2,100,5,5,1000.0,23.463888061090024
546,2,100,7,1,1000.0,30.259921545379203
547,2,100,7,2,1000.0,25.913645470914496
548,2,100,7,5,1000.0,22.9549156664522
549,2,200,2,1,1000.0,31.24646368692419
550,2,200,2,2,1000.0,23.784394667783243
551,2,200,2,5,1000.0,23.166407316903758
552,2,200,5,1,1000.0,34.09814648987328
553,2,200,5,2,1000.0,24.5674777469529
554,2,200,5,5,1000.0,22.451519218919216
555,2,200,7,1,1000.0,32.48905676385833
556,2,200,7,2,1000.0,23.98759280032629
557,2,200,7,5,1000.0,23.325966845104364
558,2,500,2,1,1000.0,29.486467668896033
559,2,500,2,2,1000.0,24.068321522800975
560,2,500,2,5,1000.0,21.95018591406129
561,2,500,5,1,1000.0,29.998509920332577
562,2,500,5,2,1000.0,23.518478473852305
563,2,500,5,5,1000.0,22.743894985100134
564,2,500,7,1,1000.0,31.075035288841807
565,2,500,7,2,1000.0,23.796789603060304
566,2,500,7,5,1000.0,22.778727986028862
567,3,100,2,1,0.001,54.34323299373188
568,3,100,2,2,0.001,799.5472987092115
569,3,100,2,5,0.001,1551.8070168347563
570,3,100,5,1,0.001,73.78160647208217
571,3,100,5,2,0.001,553.2518657083814
572,3,100,5,5,0.001,3703.829739105112
573,3,100,7,1,0.001,77.39472330854707
574,3,100,7,2,0.001,762.697341134416
575,3,100,7,5,0.001,3649.249027095407
576,3,200,2,1,0.001,68.08710698167364
577,3,200,2,2,0.001,801.2853163976032
578,3,200,2,5,0.001,1177.7124587591209
579,3,200,5,1,0.001,77.96546672663774
580,3,200,5,2,0.001,1244.5779739554487
581,3,200,5,5,0.001,1300.5548516822096
582,3,200,7,1,0.001,79.34203396305519
583,3,200,7,2,0.001,593.3876783814521
584,3,200,7,5,0.001,3927.155605475083
585,3,500,2,1,0.001,82.1256496463568
586,3,500,2,2,0.001,503.66655957152597
587,3,500,2,5,0.001,725.6861359482667
588,3,500,5,1,0.001,84.74012780147314
589,3,500,5,2,0.001,546.841101441475
590,3,500,5,5,0.001,661.9232747987458
591,3,500,7,1,0.001,79.6882879995537
592,3,500,7,2,0.001,282.821092528818
593,3,500,7,5,0.001,1960.7863797200318
594,3,100,2,1,0.01,69.37436863779752
595,3,100,2,2,0.01,192.68761129063876
596,3,100,2,5,0.01,265.09052311497675
597,3,100,5,1,0.01,80.62646381597985
598,3,100,5,2,0.01,286.64890543892693
599,3,100,5,5,0.01,367.0605733578949
600,3,100,7,1,0.01,85.44009688677177
601,3,100,7,2,0.01,262.4112277051438
602,3,100,7,5,0.01,779.5721439503808
603,3,200,2,1,0.01,40.13724805685869
604,3,200,2,2,0.01,91.6532044828482
605,3,200,2,5,0.01,140.72812567430975
606,3,200,5,1,0.01,64.54860025456614
607,3,200,5,2,0.01,102.89102952094302
608,3,200,5,5,0.01,15.297516810930206
609,3,200,7,1,0.01,61.63380359097812
610,3,200,7,2,0.01,176.77871853900038
611,3,200,7,5,0.01,156.17187390336395
612,3,500,2,1,0.01,22.684301421047678
613,3,500,2,2,0.01,9.40289032942159
614,3,500,2,5,0.01,26.956982922973175
615,3,500,5,1,0.01,25.618498468515273
616,3,500,5,2,0.01,8.399432031316728
617,3,500,5,5,0.01,14.746691373808732
618,3,500,7,1,0.01,20.57357899183717
619,3,500,7,2,0.01,8.353098415948041
620,3,500,7,5,0.01,12.308695918770713
621,3,100,2,1,0.1,28.394483102880614
622,3,100,2,2,0.1,40.82977456072272
623,3,100,2,5,0.1,55.92450247849477
624,3,100,5,1,0.1,33.08734846057605
625,3,100,5,2,0.1,45.051420190665176
626,3,100,5,5,0.1,17.74617872024651
627,3,100,7,1,0.1,23.23122962945752
628,3,100,7,2,0.1,22.80745253735493
629,3,100,7,5,0.1,16.9618259244928
630,3,200,2,1,0.1,26.765116684199562
631,3,200,2,2,0.1,18.967403242615685
632,3,200,2,5,0.1,16.0658472343131
633,3,200,5,1,0.1,19.329925896401644
634,3,200,5,2,0.1,13.562223419227308
635,3,200,5,5,0.1,16.04418014856201
636,3,200,7,1,0.1,20.391608560361842
637,3,200,7,2,0.1,17.78804963257144
638,3,200,7,5,0.1,16.24627606943276
639,3,500,2,1,0.1,11.41599933533801
640,3,500,2,2,0.1,9.508772260727827
641,3,500,2,5,0.1,12.423260076791589
642,3,500,5,1,0.1,10.013160337054112
643,3,500,5,2,0.1,10.093949896627837
644,3,500,5,5,0.1,15.939465142455834
645,3,500,7,1,0.1,9.515639669319075
646,3,500,7,2,0.1,10.070665226647021
647,3,500,7,5,0.1,15.36637608426699
648,3,100,2,1,1.0,25.021223360512643
649,3,100,2,2,1.0,20.784935148813982
650,3,100,2,5,1.0,18.62272098339063
651,3,100,5,1,1.0,23.555974388760525
652,3,100,5,2,1.0,18.61929969589246
653,3,100,5,5,1.0,18.168457012894397
654,3,100,7,1,1.0,20.413691754388335
655,3,100,7,2,1.0,18.885198454785233
656,3,100,7,5,1.0,17.851390269659632
657,3,200,2,1,1.0,17.099726106345095
658,3,200,2,2,1.0,14.913968179529588
659,3,200,2,5,1.0,15.087849809097078
660,3,200,5,1,1.0,17.298828295071495
661,3,200,5,2,1.0,14.213798764632612
662,3,200,5,5,1.0,17.309136122381325
663,3,200,7,1,1.0,16.7355277762224
664,3,200,7,2,1.0,14.210677512671303
665,3,200,7,5,1.0,17.608853237820668
666,3,500,2,1,1.0,8.589903495487672
667,3,500,2,2,1.0,10.70215948217282
668,3,500,2,5,1.0,13.973485104864752
669,3,500,5,1,1.0,8.780003872964757
670,3,500,5,2,1.0,11.70159544680835
671,3,500,5,5,1.0,17.08149903636234
672,3,500,7,1,1.0,8.643186072870703
673,3,500,7,2,1.0,11.822775435487102
674,3,500,7,5,1.0,17.42937027285295
675,3,100,2,1,10.0,22.82983467975363
676,3,100,2,2,10.0,18.897646194102588
677,3,100,2,5,10.0,18.30235622207463
678,3,100,5,1,10.0,22.087881582466697
679,3,100,5,2,10.0,17.79587767057245
680,3,100,5,5,10.0,18.98972161655505
681,3,100,7,1,10.0,22.86017248214966
682,3,100,7,2,10.0,19.819912367747705
683,3,100,7,5,10.0,19.249215871887724
684,3,200,2,1,10.0,16.763431309987865
685,3,200,2,2,10.0,14.791354140946687
686,3,200,2,5,10.0,16.97644521890625
687,3,200,5,1,10.0,16.44998348497449
688,3,200,5,2,10.0,15.225029357745102
689,3,200,5,5,10.0,18.570528363667304
690,3,200,7,1,10.0,17.123524834015615
691,3,200,7,2,10.0,15.563459557851585
692,3,200,7,5,10.0,19.104739601181052
693,3,500,2,1,10.0,11.71470672047942
694,3,500,2,2,10.0,13.457341836119781
695,3,500,2,5,10.0,16.008290519559147
696,3,500,5,1,10.0,11.520863620338828
697,3,500,5,2,10.0,14.336004769557526
698,3,500,5,5,10.0,18.482292098928177
699,3,500,7,1,10.0,11.628715603160883
700,3,500,7,2,10.0,14.57703440231047
701,3,500,7,5,10.0,18.96525141945168
702,3,100,2,1,100.0,24.469064466290888
703,3,100,2,2,100.0,21.273963104354767
704,3,100,2,5,100.0,19.6480554384101
705,3,100,5,1,100.0,22.745147670841938
706,3,100,5,2,100.0,19.53044791655371
707,3,100,5,5,100.0,20.103138404475065
708,3,100,7,1,100.0,22.695912703310363
709,3,100,7,2,100.0,19.363094764002707
710,3,100,7,5,100.0,20.61608663251884
711,3,200,2,1,100.0,19.99479030691215
712,3,200,2,2,100.0,18.479591176158337
713,3,200,2,5,100.0,19.608766627936106
714,3,200,5,1,100.0,19.5983114817048
715,3,200,5,2,100.0,18.35609371288781
716,3,200,5,5,100.0,19.890552615982568
717,3,200,7,1,100.0,19.51262681366594
718,3,200,7,2,100.0,18.360407084660626
719,3,200,7,5,100.0,20.488844763638685
720,3,500,2,1,100.0,18.471796704583586
721,3,500,2,2,100.0,17.69853376563052
722,3,500,2,5,100.0,18.01201250237219
723,3,500,5,1,100.0,17.786647753060784
724,3,500,5,2,100.0,17.88236449422598
725,3,500,5,5,100.0,20.082794701245962
726,3,500,7,1,100.0,17.867489769762606
727,3,500,7,2,100.0,17.97546566317596
728,3,500,7,5,100.0,20.490454611210325
729,3,100,2,1,1000.0,32.83235572207083
730,3,100,2,2,1000.0,25.21954923649599
731,3,100,2,5,1000.0,23.523710131660316
732,3,100,5,1,1000.0,29.304315235642616
733,3,100,5,2,1000.0,24.251704547164948
734,3,100,5,5,1000.0,22.460596023032636
735,3,100,7,1,1000.0,36.95046114315418
736,3,100,7,2,1000.0,24.07585223746447
737,3,100,7,5,1000.0,23.279583835071286
738,3,200,2,1,1000.0,30.669711018422067
739,3,200,2,2,1000.0,23.34412814707442
740,3,200,2,5,1000.0,22.507501915229092
741,3,200,5,1,1000.0,30.5566919569359
742,3,200,5,2,1000.0,22.94881395352752
743,3,200,5,5,1000.0,22.556619530914947
744,3,200,7,1,1000.0,32.07494902787773
745,3,200,7,2,1000.0,23.511423872971815
746,3,200,7,5,1000.0,23.17985011727362
747,3,500,2,1,1000.0,29.948294118268468
748,3,500,2,2,1000.0,22.725577991570884
749,3,500,2,5,1000.0,22.14289199600171
750,3,500,5,1,1000.0,29.848620001290506
751,3,500,5,2,1000.0,23.204040915447692
752,3,500,5,5,1000.0,23.010585383971673
753,3,500,7,1,1000.0,31.295995432645622
754,3,500,7,2,1000.0,23.56545736610598
755,3,500,7,5,1000.0,22.719707419721086
756,4,100,2,1,0.001,75.29027149291034
757,4,100,2,2,0.001,588.4907759026767
758,4,100,2,5,0.001,1728.6083011023588
759,4,100,5,1,0.001,73.89523643399177
760,4,100,5,2,0.001,1274.1681627258763
761,4,100,5,5,0.001,3696.304364745866
762,4,100,7,1,0.001,76.18667922376304
763,4,100,7,2,0.001,774.8349412494439
764,4,100,7,5,0.001,1351.3169392273073
765,4,200,2,1,0.001,65.01407018657045
766,4,200,2,2,0.001,662.0509417101542
767,4,200,2,5,0.001,1349.314839053205
768,4,200,5,1,0.001,74.36786289884357
769,4,200,5,2,0.001,977.2340812939434
770,4,200,5,5,0.001,2419.53917674288
771,4,200,7,1,0.001,72.05929538003754
772,4,200,7,2,0.001,826.1767134916738
773,4,200,7,5,0.001,2445.1918199570882
774,4,500,2,1,0.001,75.45526498632255
775,4,500,2,2,0.001,432.5378155519377
776,4,500,2,5,0.001,713.1500072022368
777,4,500,5,1,0.001,69.17222772726087
778,4,500,5,2,0.001,346.91410064977487
779,4,500,5,5,0.001,318.7210703599555
780,4,500,7,1,0.001,102.97143493684699
781,4,500,7,2,0.001,334.52493429375534
782,4,500,7,5,0.001,2184.8015907120234
783,4,100,2,1,0.01,53.97831794256084
784,4,100,2,2,0.01,228.99120872391066
785,4,100,2,5,0.01,170.98295286419142
786,4,100,5,1,0.01,75.55188740939806
787,4,100,5,2,0.01,257.0257298915951
788,4,100,5,5,0.01,591.2293924806205
789,4,100,7,1,0.01,73.68676827705504
790,4,100,7,2,0.01,176.58660321144745
791,4,100,7,5,0.01,733.0733322111316
792,4,200,2,1,0.01,70.68099254283707
793,4,200,2,2,0.01,112.69669277253962
794,4,200,2,5,0.01,285.4539356735973
795,4,200,5,1,0.01,62.50021184371728
796,4,200,5,2,0.01,99.93977954516303
797,4,200,5,5,0.01,287.50517212452434
798,4,200,7,1,0.01,71.339701388275
799,4,200,7,2,0.01,168.01344403992664
800,4,200,7,5,0.01,186.83077654899628
801,4,500,2,1,0.01,30.18522596848266
802,4,500,2,2,0.01,10.797706618877966
803,4,500,2,5,0.01,10.132564322012383
804,4,500,5,1,0.01,25.115058915169072
805,4,500,5,2,0.01,8.552155536523134
806,4,500,5,5,0.01,14.51257056338351
807,4,500,7,1,0.01,29.32513122056372
808,4,500,7,2,0.01,8.508071975666647
809,4,500,7,5,0.01,12.16746108107071
810,4,100,2,1,0.1,27.8158485164962
811,4,100,2,2,0.1,39.944793529374536
812,4,100,2,5,0.1,55.16291657914096
813,4,100,5,1,0.1,22.94864318023299
814,4,100,5,2,0.1,26.407810270903425
815,4,100,5,5,0.1,17.925150483807364
816,4,100,7,1,0.1,32.174015061884674
817,4,100,7,2,0.1,30.742237040497113
818,4,100,7,5,0.1,17.130863051308935
819,4,200,2,1,0.1,21.398692659212188
820,4,200,2,2,0.1,16.9695013896764
821,4,200,2,5,0.1,15.429874115861766
822,4,200,5,1,0.1,20.71397701547513
823,4,200,5,2,0.1,14.99222046444476
824,4,200,5,5,0.1,16.18376659185689
825,4,200,7,1,0.1,19.292613572225815
826,4,200,7,2,0.1,14.773623544816882
827,4,200,7,5,0.1,15.970034656857589
828,4,500,2,1,0.1,9.210317451762865
829,4,500,2,2,0.1,8.726441766676285
830,4,500,2,5,0.1,12.610090547296236
831,4,500,5,1,0.1,9.839908960057652
832,4,500,5,2,0.1,10.010932600830868
833,4,500,5,5,0.1,16.021704087331273
834,4,500,7,1,0.1,9.460270920620724
835,4,500,7,2,0.1,10.187240623985952
836,4,500,7,5,0.1,15.240918215685491
837,4,100,2,1,1.0,22.766277338753248
838,4,100,2,2,1.0,20.47584572658548
839,4,100,2,5,1.0,19.49759379182813
840,4,100,5,1,1.0,21.957832641144364
841,4,100,5,2,1.0,18.23402249350392
842,4,100,5,5,1.0,17.589945925296217
843,4,100,7,1,1.0,22.20069745103861
844,4,100,7,2,1.0,18.918211528362374
845,4,100,7,5,1.0,17.96707623440086
846,4,200,2,1,1.0,18.94259552549253
847,4,200,2,2,1.0,15.708604953508871
848,4,200,2,5,1.0,14.99447755085133
849,4,200,5,1,1.0,16.789444737323155
850,4,200,5,2,1.0,14.151186464501668
851,4,200,5,5,1.0,17.28627015461286
852,4,200,7,1,1.0,15.855778522202211
853,4,200,7,2,1.0,14.400704302142477
854,4,200,7,5,1.0,17.421946561347877
855,4,500,2,1,1.0,9.71553192588358
856,4,500,2,2,1.0,10.433466316058649
857,4,500,2,5,1.0,14.052079398892367
858,4,500,5,1,1.0,8.978315562472382
859,4,500,5,2,1.0,11.572680643209944
860,4,500,5,5,1.0,17.04740821883627
861,4,500,7,1,1.0,9.340793104931373
862,4,500,7,2,1.0,11.859879741527113
863,4,500,7,5,1.0,17.457872615466915
864,4,100,2,1,10.0,24.900022137519215
865,4,100,2,2,10.0,19.600979298024
866,4,100,2,5,10.0,18.306186848483826
867,4,100,5,1,10.0,21.988184737859147
868,4,100,5,2,10.0,19.008232463352964
869,4,100,5,5,10.0,18.833650709097828
870,4,100,7,1,10.0,22.53464071640187
871,4,100,7,2,10.0,17.248683083663916
872,4,100,7,5,10.0,19.130581652805063
873,4,200,2,1,10.0,18.162407594883184
874,4,200,2,2,10.0,15.02796946145097
875,4,200,2,5,10.0,16.806429906628964
876,4,200,5,1,10.0,16.27893050670205
877,4,200,5,2,10.0,14.985773670395956
878,4,200,5,5,10.0,18.481492623402698
