,repetition,num_cell,cell_size,sparse_freq,alpha,error
142,0,100,7,2,100.0,24.26883368619608
143,0,100,7,5,100.0,26.24371208714844
144,0,200,2,1,100.0,26.511675122841208
145,0,200,2,2,100.0,23.77583281874962
146,0,200,2,5,100.0,23.949845461006838
147,0,200,5,1,100.0,24.13153501771394
148,0,200,5,2,100.0,23.583857335901264
149,0,200,5,5,100.0,25.83601634850853
150,0,200,7,1,100.0,25.34701385251334
151,0,200,7,2,100.0,23.145168095478514
152,0,200,7,5,100.0,26.787925571248014
153,0,500,2,1,100.0,22.619837010621186
154,0,500,2,2,100.0,22.325077239330614
155,0,500,2,5,100.0,23.720306381996707
156,0,500,5,1,100.0,22.906899806438762
157,0,500,5,2,100.0,23.171964328706633
158,0,500,5,5,100.0,25.591356460188802
159,0,500,7,1,100.0,23.51191107165154
160,0,500,7,2,100.0,22.905223620404218
161,0,500,7,5,100.0,26.02939574742933
162,0,100,2,1,1000.0,38.10124224863872
163,0,100,2,2,1000.0,35.22188846792839
164,0,100,2,5,1000.0,30.693756332582605
165,0,100,5,1,1000.0,37.91119078275305
166,0,100,5,2,1000.0,29.712504837662312
167,0,100,5,5,1000.0,31.05153108511113
168,0,100,7,1,1000.0,38.808601486951666
169,0,100,7,2,1000.0,29.951536265109702
170,0,100,7,5,1000.0,31.031555803325393
171,0,200,2,1,1000.0,40.58501237669317
172,0,200,2,2,1000.0,30.674141972315567
173,0,200,2,5,1000.0,29.78588271266725
174,0,200,5,1,1000.0,36.90836374892743
175,0,200,5,2,1000.0,30.770415160081175
176,0,200,5,5,1000.0,29.675599766656024
177,0,200,7,1,1000.0,37.21012627532691
178,0,200,7,2,1000.0,30.74020798872076
179,0,200,7,5,1000.0,30.19602928067183
180,0,500,2,1,1000.0,36.19878694853373
181,0,500,2,2,1000.0,28.720566812047
182,0,500,2,5,1000.0,28.76788374022605
183,0,500,5,1,1000.0,38.51382231639919
184,0,500,5,2,1000.0,30.06298518014959
185,0,500,5,5,1000.0,29.67094566154798
186,0,500,7,1,1000.0,37.579091557469475
187,0,500,7,2,1000.0,29.48945828558264
188,0,500,7,5,1000.0,29.854685965914364
189,1,100,2,1,0.001,107.18424102381712
190,1,100,2,2,0.001,1213.7307645791093
191,1,100,2,5,0.001,3802.7098504823375
192,1,100,5,1,0.001,127.10421147802475
193,1,100,5,2,0.001,1873.8097528555966
194,1,100,5,5,0.001,7835.120203930858
195,1,100,7,1,0.001,111.296656697308
196,1,100,7,2,0.001,1444.6854438732648
197,1,100,7,5,0.001,6050.911220287761
198,1,200,2,1,0.001,123.58460633215189
199,1,200,2,2,0.001,868.1163080670451
200,1,200,2,5,0.001,2978.8042267684236
201,1,200,5,1,0.001,135.08067085649492
202,1,200,5,2,0.001,1984.2581743503454
203,1,200,5,5,0.001,6652.73220065485
204,1,200,7,1,0.001,105.62190393393581
205,1,200,7,2,0.001,1261.118955582539
206,1,200,7,5,0.001,6767.870520090256
207,1,500,2,1,0.001,108.58111396323358
208,1,500,2,2,0.001,1033.2242563815782
209,1,500,2,5,0.001,1435.0491208457468
210,1,500,5,1,0.001,148.50964690546917
211,1,500,5,2,0.001,1543.8770790645965
212,1,500,5,5,0.001,5616.469915221702
213,1,500,7,1,0.001,140.72066871174133
214,1,500,7,2,0.001,1431.1187869433331
215,1,500,7,5,0.001,5904.017201146605
216,1,100,2,1,0.01,112.0414958000974
217,1,100,2,2,0.01,457.313240307235
218,1,100,2,5,0.01,833.4753928727025
219,1,100,5,1,0.01,95.71890946444235
220,1,100,5,2,0.01,232.99220590731844
221,1,100,5,5,0.01,2574.7211336336504
222,1,100,7,1,0.01,109.37108016269036
223,1,100,7,2,0.01,388.0010281929753
224,1,100,7,5,0.01,1875.0070426820573
225,1,200,2,1,0.01,60.87495880625618
226,1,200,2,2,0.01,174.1769664463039
227,1,200,2,5,0.01,953.9503693167248
228,1,200,5,1,0.01,89.91292707911742
229,1,200,5,2,0.01,368.7065180304249
230,1,200,5,5,0.01,648.9382467875463
231,1,200,7,1,0.01,101.3634128585132
232,1,200,7,2,0.01,423.91566962936326
233,1,200,7,5,0.01,1814.3061519310008
