,classical_samp,alpha,repetition,error
140,50,0.001,5,58.72557847599844
141,100,0.001,5,54.31073005541393
142,200,0.001,5,46.18016851327761
143,500,0.001,5,31.47058542606568
144,50,0.01,5,62.75815873434938
145,100,0.01,5,53.0217885271659
146,200,0.01,5,42.916088348230815
147,500,0.01,5,26.69660092600984
148,50,0.1,5,55.28671681849403
149,100,0.1,5,47.56782808207536
150,200,0.1,5,37.56106715566573
151,500,0.1,5,23.309651343259976
152,50,1.0,5,38.55815494458201
153,100,1.0,5,35.83826173663245
154,200,1.0,5,32.287493989479486
155,500,1.0,5,22.35738936646881
156,50,10.0,5,45.996528854732986
157,100,10.0,5,39.95494369628009
158,200,10.0,5,31.9543915420129
159,500,10.0,5,22.497255110448613
160,50,100.0,5,45.04185445310021
161,100,100.0,5,36.41768848360957
162,200,100.0,5,31.070126054403417
163,500,100.0,5,29.98601687344703
164,50,1000.0,5,52.865945011715645
165,100,1000.0,5,57.6654200385702
166,200,1000.0,5,61.8844037641149
167,500,1000.0,5,63.77707604770952
168,50,0.001,6,65.47285885465394
169,100,0.001,6,55.20001409325437
170,200,0.001,6,45.56176363692672
171,500,0.001,6,29.61722046014649
172,50,0.01,6,61.70674031306412
173,100,0.01,6,52.32584415917247
174,200,0.01,6,39.55623104647561
175,500,0.01,6,33.46907546863323
176,50,0.1,6,54.340684376859386
177,100,0.1,6,47.007959591586065
178,200,0.1,6,39.47803123021697
179,500,0.1,6,25.834775896511285
180,50,1.0,6,43.162553598047275
181,100,1.0,6,34.4135576974768
182,200,1.0,6,32.64186814555844
183,500,1.0,6,23.325901672711232
184,50,10.0,6,43.020549147538446
185,100,10.0,6,38.5864428577235
186,200,10.0,6,36.53973132786385
187,500,10.0,6,24.08229037379107
188,50,100.0,6,43.946381792606545
189,100,100.0,6,38.01724514664935
190,200,100.0,6,31.40646198616158
191,500,100.0,6,29.789494295945346
192,50,1000.0,6,66.32946778239891
193,100,1000.0,6,61.29052929505983
194,200,1000.0,6,62.521618296565755
195,500,1000.0,6,62.977257531849425
196,50,0.001,7,61.57693743974223
197,100,0.001,7,53.88930358513426
198,200,0.001,7,45.24916507043791
199,500,0.001,7,31.04426790997358
200,50,0.01,7,62.49884391595468
201,100,0.01,7,53.64276707927242
202,200,0.01,7,50.34121185298932
203,500,0.01,7,30.668066017534503
204,50,0.1,7,59.9514392521375
205,100,0.1,7,41.898848127898106
206,200,0.1,7,35.23526443574267
207,500,0.1,7,25.45948061392001
208,50,1.0,7,42.49844337573403
209,100,1.0,7,41.359619810484524
210,200,1.0,7,32.052437303822174
211,500,1.0,7,22.746716209041505
212,50,10.0,7,43.714641123716724
213,100,10.0,7,39.269315501474175
214,200,10.0,7,33.9612298715163
215,500,10.0,7,24.29397173214199
216,50,100.0,7,47.30091309962799
217,100,100.0,7,38.63731847939072
218,200,100.0,7,33.122890186299216
219,500,100.0,7,29.526926715116232
220,50,1000.0,7,68.00378863990315
221,100,1000.0,7,67.59486261340513
222,200,1000.0,7,65.85032782055129
223,500,1000.0,7,62.73242050566173
224,50,0.001,8,56.099211915344526
225,100,0.001,8,58.543495420599974
226,200,0.001,8,43.14652254390073
227,500,0.001,8,30.314927235691787
228,50,0.01,8,58.982838717447564
229,100,0.01,8,57.67358452945379
230,200,0.01,8,39.942631343220725
231,500,0.01,8,32.619372337924375
232,50,0.1,8,56.8982149174739
233,100,0.1,8,51.237590724602015
234,200,0.1,8,36.97599932060242
235,500,0.1,8,24.909823851471625
236,50,1.0,8,45.144104031770134
237,100,1.0,8,38.29712360097093
238,200,1.0,8,30.502193258886074
239,500,1.0,8,22.85465159678616
240,50,10.0,8,49.70498436157378
241,100,10.0,8,47.25187760612834
242,200,10.0,8,33.69036215581355
243,500,10.0,8,23.423777676761187
244,50,100.0,8,47.02264884617676
245,100,100.0,8,41.212171252123284
246,200,100.0,8,34.38913742702687
247,500,100.0,8,30.16434568713423
248,50,1000.0,8,63.65198038873109
249,100,1000.0,8,69.98740098257895
250,200,1000.0,8,61.80222987544744
251,500,1000.0,8,62.958746660767
252,50,0.001,9,65.4407934744861
253,100,0.001,9,58.808500892348995
254,200,0.001,9,44.556728025399075
255,500,0.001,9,28.52559950638229
