,classical_samp,alpha,repetition,error
113,100,0.001,4,53.02214268423755
114,200,0.001,4,45.06095406115583
115,500,0.001,4,29.885184342023525
116,50,0.01,4,64.91174404820774
117,100,0.01,4,48.000951335542595
118,200,0.01,4,42.17620129474043
119,500,0.01,4,33.251242276344755
120,50,0.1,4,59.04588982758772
121,100,0.1,4,52.996675455853776
122,200,0.1,4,35.274507160484525
123,500,0.1,4,24.806491322890565
124,50,1.0,4,39.2621996121463
125,100,1.0,4,38.52565972456763
126,200,1.0,4,30.463046426584864
127,500,1.0,4,22.726216820521962
128,50,10.0,4,44.7273190990596
129,100,10.0,4,40.403396657825255
130,200,10.0,4,32.76100539372192
131,500,10.0,4,23.359277118338163
132,50,100.0,4,48.5023371699439
133,100,100.0,4,34.45603303580375
134,200,100.0,4,32.37745374165446
135,500,100.0,4,30.485447266383357
136,50,1000.0,4,74.70816366715566
137,100,1000.0,4,55.37426341659779
138,200,1000.0,4,60.20817369231853
139,500,1000.0,4,61.20236538612776
140,50,0.001,5,59.261244693951156
141,100,0.001,5,57.18248171185546
142,200,0.001,5,41.77888405218352
143,500,0.001,5,28.183494031617595
144,50,0.01,5,55.457768988366254
145,100,0.01,5,46.2912998817511
146,200,0.01,5,44.583929046899364
147,500,0.01,5,28.57346082436414
148,50,0.1,5,56.89699797216626
149,100,0.1,5,44.169594805171414
150,200,0.1,5,34.887605820125984
151,500,0.1,5,28.001400669147205
152,50,1.0,5,39.28685045263557
153,100,1.0,5,33.8298251241625
154,200,1.0,5,30.819080227365678
155,500,1.0,5,24.564512763775312
156,50,10.0,5,49.196924879969295
157,100,10.0,5,41.963272055614134
158,200,10.0,5,32.898811592808094
159,500,10.0,5,22.205511980388057
160,50,100.0,5,44.614049517005746
161,100,100.0,5,35.75047326057617
162,200,100.0,5,32.963200927115324
163,500,100.0,5,31.03614086001424
164,50,1000.0,5,66.17612112693978
165,100,1000.0,5,59.50961727853385
166,200,1000.0,5,65.40679556000319
167,500,1000.0,5,60.282825073159344
168,50,0.001,6,55.031672910953304
169,100,0.001,6,52.13309905381132
170,200,0.001,6,42.18969783584364
171,500,0.001,6,30.821511017644372
172,50,0.01,6,61.843707740160276
173,100,0.01,6,50.17997277411113
174,200,0.01,6,39.50376772198231
175,500,0.01,6,29.138852621986715
176,50,0.1,6,64.41316209289832
177,100,0.1,6,50.773002372627666
178,200,0.1,6,33.990738769544606
179,500,0.1,6,27.48345578471502
180,50,1.0,6,48.44952015741077
181,100,1.0,6,35.6068732528907
182,200,1.0,6,31.013326735812175
183,500,1.0,6,23.093897876427157
184,50,10.0,6,42.18819228160744
185,100,10.0,6,36.63654729607262
186,200,10.0,6,29.60776351134853
187,500,10.0,6,22.554258358300956
188,50,100.0,6,39.04489143669562
189,100,100.0,6,39.043010757520285
190,200,100.0,6,32.549808728727875
191,500,100.0,6,30.606413079280788
192,50,1000.0,6,64.24712543698809
193,100,1000.0,6,64.09026337357787
194,200,1000.0,6,63.25841333772759
195,500,1000.0,6,63.78481411560698
196,50,0.001,7,65.70469710242782
197,100,0.001,7,51.484252079967106
198,200,0.001,7,42.29789307606118
199,500,0.001,7,30.605379694709708
200,50,0.01,7,54.88584902045413
201,100,0.01,7,55.32835021229084
202,200,0.01,7,42.44005659989117
203,500,0.01,7,27.18303871735159
204,50,0.1,7,64.29458286072345
205,100,0.1,7,44.19888071798029
206,200,0.1,7,34.387631180536495
207,500,0.1,7,24.249010934778784
208,50,1.0,7,51.282578350779126
209,100,1.0,7,44.102899739629684
210,200,1.0,7,29.318862031823173
211,500,1.0,7,23.467895629770542
212,50,10.0,7,46.921841593842416
213,100,10.0,7,37.90227390575589
214,200,10.0,7,32.32276951516568
215,500,10.0,7,22.301903715422217
216,50,100.0,7,53.71391448680633
217,100,100.0,7,37.12261135434206
218,200,100.0,7,32.13012888844656
219,500,100.0,7,29.78027583566508
220,50,1000.0,7,66.99654282770952
221,100,1000.0,7,64.45387917239363
222,200,1000.0,7,64.61195659441418
223,500,1000.0,7,61.591841237913314
224,50,0.001,8,61.217325173862996
225,100,0.001,8,52.13858804909108
226,200,0.001,8,40.10864876083935
227,500,0.001,8,29.7722251720639
228,50,0.01,8,56.708008779287205
229,100,0.01,8,55.537465593970744
230,200,0.01,8,42.85673486289686
231,500,0.01,8,28.432229699186315
232,50,0.1,8,58.74017384271044
233,100,0.1,8,43.617059106853965
234,200,0.1,8,38.86356157421634
235,500,0.1,8,26.667072074034746
236,50,1.0,8,43.83759659685369
237,100,1.0,8,39.37285773516218
238,200,1.0,8,31.18151593123883
239,500,1.0,8,21.891776749797483
240,50,10.0,8,46.0099654740686
241,100,10.0,8,39.55893165236707
242,200,10.0,8,32.14119931634694
243,500,10.0,8,23.46127252018998
244,50,100.0,8,45.06934072378079
245,100,100.0,8,37.69266961775299
246,200,100.0,8,33.6426200907735
247,500,100.0,8,30.45596161450085
248,50,1000.0,8,62.741915394856996
249,100,1000.0,8,62.20041048626397
250,200,1000.0,8,60.668503156923094
251,500,1000.0,8,61.89968759471107
252,50,0.001,9,54.039655171151246
253,100,0.001,9,48.466722690009256
254,200,0.001,9,43.03808329208247
255,500,0.001,9,28.129911697852982
256,50,0.01,9,61.45887516581794
257,100,0.01,9,54.086942783513784
258,200,0.01,9,42.66000711445928
259,500,0.01,9,26.230745982950232
260,50,0.1,9,60.788147673859655
261,100,0.1,9,44.87504783075503
262,200,0.1,9,35.75258777070469
263,500,0.1,9,24.427588270097726
264,50,1.0,9,52.070522044408364
265,100,1.0,9,37.27176385049086
