epoch,arch,structured,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5,best_acc1
24,alexnet,False,3.0103272773115064,36.158565521240234,61.053035736083984,2.4999456518554686,44.257999420166016,70.0719985961914,44.50199890136719
25,alexnet,False,3.003240952955002,36.352294921875,61.123287200927734,2.5028881814575197,44.52399826049805,70.18599700927734,44.52399826049805
26,alexnet,False,2.9880024326100267,36.624237060546875,61.39272689819336,2.5088568589782714,44.6879997253418,69.8699951171875,44.6879997253418
27,alexnet,False,2.9765795818621035,36.782840728759766,61.6518669128418,2.5167600839996336,44.27399826049805,69.67599487304688,44.6879997253418
28,alexnet,False,2.970580383126799,36.89414596557617,61.676063537597656,2.5081334381103515,44.86000061035156,70.46199798583984,44.86000061035156
29,alexnet,False,2.956028496790472,37.05790328979492,61.92911148071289,2.448857802886963,45.715999603271484,71.0999984741211,45.715999603271484
30,alexnet,False,2.949561665012967,37.23133850097656,62.00217056274414,2.4655887490844726,45.25199890136719,70.51200103759766,45.715999603271484
31,alexnet,False,2.6124400023779972,43.16342544555664,67.61314392089844,2.1700651348876954,51.08399963378906,75.1240005493164,51.08399963378906
32,alexnet,False,2.5288471314619834,44.62989807128906,68.91149139404297,2.1353942138671873,51.84199905395508,75.70800018310547,51.84199905395508
33,alexnet,False,2.4865515007641084,45.32769775390625,69.67157745361328,2.106267554779053,52.33799743652344,76.06399536132812,52.33799743652344
34,alexnet,False,2.4592137942953065,45.82880401611328,70.02235412597656,2.095176495437622,52.593997955322266,76.34600067138672,52.593997955322266
35,alexnet,False,2.4339003073334413,46.27714538574219,70.48583221435547,2.0728033382415774,53.055999755859375,76.55799865722656,53.055999755859375
36,alexnet,False,2.414582182081228,46.725643157958984,70.75511932373047,2.065934288406372,53.02199935913086,76.68999481201172,53.055999755859375
37,alexnet,False,2.3971009671665002,46.988372802734375,71.00021362304688,2.059687580795288,53.163997650146484,76.7979965209961,53.163997650146484
38,alexnet,False,2.3792892087253694,47.294498443603516,71.23858642578125,2.048312147064209,53.5099983215332,77.06399536132812,53.5099983215332
39,alexnet,False,2.3641229629331995,47.57033920288086,71.4906997680664,2.0390135815429686,53.513999938964844,77.0,53.513999938964844
40,alexnet,False,2.3543200693975153,47.688045501708984,71.70004272460938,2.035792621688843,53.64999771118164,77.08799743652344,53.64999771118164
41,alexnet,False,2.337018720886875,47.994014739990234,71.95059204101562,2.02395122505188,54.077999114990234,77.36000061035156,54.077999114990234
42,alexnet,False,2.328912477522585,48.166202545166016,72.13916778564453,2.0157904670715334,54.013999938964844,77.41199493408203,54.077999114990234
43,alexnet,False,2.3158260911389354,48.336830139160156,72.3136978149414,2.020501699295044,54.0620002746582,77.41400146484375,54.077999114990234
44,alexnet,False,2.3016704399707533,48.68900680541992,72.52069854736328,2.006219063644409,54.24399948120117,77.65599822998047,54.24399948120117
45,alexnet,False,2.2968939080570694,48.79594039916992,72.66384887695312,2.002702280654907,54.38999938964844,77.73799896240234,54.38999938964844
46,alexnet,False,2.288179600179101,48.961570739746094,72.7996597290039,1.9966421459960937,54.37199783325195,77.73999786376953,54.38999938964844
47,alexnet,False,2.2795198770740335,49.08895492553711,72.89488983154297,1.9946966906738282,54.47599792480469,77.87200164794922,54.47599792480469
